line,col,seq,par,absdiff
133,4,0.570099,0.571422,0.001322999999999963
149,4,0.570099,0.571422,0.001322999999999963
51,4,0.494864,0.49618,0.0013159999999999838
160,4,0.485275,0.486538,0.0012630000000000141
112,4,0.501806,0.503054,0.0012480000000000269
4,4,-0.065722,-0.066927,0.0012049999999999977
20,4,-0.065722,-0.066927,0.0012049999999999977
144,4,0.477553,0.478721,0.0011680000000000024
67,4,0.521168,0.522203,0.0010350000000000081
134,4,0.568141,0.569162,0.0010209999999999386
150,4,0.568141,0.569162,0.0010209999999999386
96,4,0.529904,0.53084,0.0009359999999999369
84,4,0.528548,0.52948,0.0009319999999999329
50,4,0.501682,0.502606,0.0009240000000000359
37,4,0.021713,0.020796,0.0009170000000000011
131,4,0.510739,0.511647,0.0009079999999999089
147,4,0.510739,0.511647,0.0009079999999999089
36,4,0.322053,0.321187,0.0008659999999999779
68,4,0.545368,0.546233,0.0008650000000000047
135,4,0.530996,0.531859,0.0008629999999999471
151,4,0.530996,0.531859,0.0008629999999999471
98,3,0.115911,0.116699,0.000787999999999997
34,4,0.464241,0.465021,0.0007800000000000029
67,3,0.273319,0.272556,0.0007629999999999582
114,4,0.541567,0.540831,0.0007360000000000699
100,4,0.5196,0.520334,0.0007340000000000124
35,4,0.387421,0.388136,0.0007149999999999657
115,3,0.063232,0.063935,0.0007030000000000092
136,4,0.479203,0.479889,0.0006860000000000199
152,4,0.479203,0.479889,0.0006860000000000199
68,3,0.277834,0.27715,0.0006840000000000179
53,3,0.462078,0.461431,0.0006470000000000087
118,4,0.571651,0.571027,0.0006240000000000689
114,3,0.069187,0.069794,0.0006069999999999964
63,3,-0.030586,-0.030007,0.0005789999999999997
64,3,-0.030586,-0.030007,0.0005789999999999997
102,4,0.595451,0.594888,0.0005629999999999802
54,4,0.759922,0.759365,0.0005570000000000297
80,4,0.572339,0.572889,0.0005499999999999394
117,4,0.565749,0.565217,0.0005319999999999769
83,4,0.532305,0.532836,0.0005309999999999482
127,4,0.603085,0.602572,0.0005129999999999857
137,4,0.401057,0.401559,0.0005020000000000024
153,4,0.401057,0.401559,0.0005020000000000024
53,4,0.70395,0.703459,0.0004910000000000192
86,4,0.630685,0.630215,0.00047000000000008146
73,4,0.536943,0.536473,0.00046999999999997044
99,3,0.13344,0.133906,0.0004659999999999942
79,3,-0.058951,-0.058491,0.0004600000000000021
80,3,-0.058951,-0.058491,0.0004600000000000021
89,4,0.499294,0.498844,0.00045000000000000595
5,4,-0.282867,-0.28242,0.0004469999999999752
21,4,-0.282867,-0.28242,0.0004469999999999752
70,4,0.687716,0.687273,0.0004429999999999712
21,3,0.005951,0.00639,0.00043900000000000015
98,4,0.543715,0.543279,0.00043599999999999195
111,4,0.602881,0.602448,0.0004330000000000167
66,4,0.52065,0.521077,0.0004270000000000662
126,4,0.543476,0.5439,0.00042400000000009097
143,4,0.604638,0.604216,0.00042200000000003346
159,4,0.604638,0.604216,0.00042200000000003346
70,3,0.16054,0.16012,0.00041999999999997595
56,4,0.59738,0.596966,0.00041400000000002546
110,4,0.552343,0.552751,0.00040799999999996395
120,3,0.040145,0.039741,0.0004040000000000016
115,4,0.533978,0.533574,0.00040399999999995995
16,4,-0.36509,-0.365492,0.00040199999999995795
32,4,-0.36509,-0.365492,0.00040199999999995795
47,3,-0.025869,-0.025468,0.0004009999999999986
48,3,-0.025869,-0.025468,0.0004009999999999986
104,3,0.047522,0.047123,0.0003990000000000035
69,3,0.262109,0.261711,0.00039799999999995395
142,4,0.541095,0.541468,0.0003729999999999567
158,4,0.541095,0.541468,0.0003729999999999567
92,4,0.60064,0.600277,0.0003630000000000022
131,3,0.012393,0.012756,0.0003630000000000005
130,3,0.020552,0.020909,0.0003569999999999997
54,3,0.140411,0.140061,0.00035000000000001696
76,4,0.586415,0.586066,0.0003490000000000437
52,4,0.541219,0.541567,0.00034800000000001496
95,4,0.594537,0.594189,0.00034800000000001496
