itc_max: 800000, nc: 1, n_tr: 10, n_out: 100, n_vort: 100
beta: 1300.000000, b_art: 0.000000, dtau_f: 1000000.000000, final_time: 1.000000,
eps: 0.000100, eps_mass: 0.000100, start_mode: 0
[ITER 45][CUDA] kernel_solve_V = 1053.441650 ms
[ITER 45][CUDA] kernel_solve_P = 120.779556 ms
[ITER 45][CUDA] kernel_solve_Z = 371.924652 ms
[ITER 45][CUDA] kernel_solve_C = 389.203003 ms
[ITER 45][CUDA] H2D = 0.000000 ms
[ITER 45][CUDA] D2H = 0.000000 ms
[ITER 45][CUDA] timestep_total = 3022.951416 ms
[ITER 46][CUDA] kernel_solve_U = 1111.047974 ms
[ITER 46][CUDA] kernel_solve_V = 1134.452271 ms
[ITER 46][CUDA] kernel_solve_P = 130.078812 ms
[ITER 46][CUDA] kernel_solve_Z = 400.509277 ms
[ITER 46][CUDA] kernel_solve_C = 418.977905 ms
[ITER 46][CUDA] H2D = 0.000000 ms
[ITER 46][CUDA] D2H = 0.000000 ms
[ITER 46][CUDA] timestep_total = 3255.202881 ms
[ITER 47][CUDA] kernel_solve_U = 1204.640747 ms
[ITER 47][CUDA] kernel_solve_V = 1229.801392 ms
[ITER 47][CUDA] kernel_solve_P = 141.286148 ms
[ITER 47][CUDA] kernel_solve_Z = 434.512482 ms
[ITER 47][CUDA] kernel_solve_C = 454.287964 ms
[ITER 47][CUDA] H2D = 0.000000 ms
[ITER 47][CUDA] D2H = 0.000000 ms
[ITER 47][CUDA] timestep_total = 3529.708496 ms
[ITER 48][CUDA] kernel_solve_U = 1295.441895 ms
[ITER 48][CUDA] kernel_solve_V = 1322.956055 ms
[ITER 48][CUDA] kernel_solve_P = 151.424850 ms
[ITER 48][CUDA] kernel_solve_Z = 466.963623 ms
[ITER 48][CUDA] kernel_solve_C = 488.572021 ms
[ITER 48][CUDA] H2D = 0.000000 ms
[ITER 48][CUDA] D2H = 0.000000 ms
[ITER 48][CUDA] timestep_total = 3795.499512 ms
[ITER 49][CUDA] kernel_solve_U = 1362.846313 ms
[ITER 49][CUDA] kernel_solve_V = 1391.937622 ms
[ITER 49][CUDA] kernel_solve_P = 159.663223 ms
[ITER 49][CUDA] kernel_solve_Z = 491.187500 ms
[ITER 49][CUDA] kernel_solve_C = 514.013977 ms
[ITER 49][CUDA] H2D = 0.000000 ms
[ITER 49][CUDA] D2H = 0.000000 ms
[ITER 49][CUDA] timestep_total = 3993.314941 ms
[ITER 50][CUDA] kernel_solve_U = 1398.217163 ms
[ITER 50][CUDA] kernel_solve_V = 1428.107422 ms
[ITER 50][CUDA] kernel_solve_P = 163.746735 ms
[ITER 50][CUDA] kernel_solve_Z = 503.997803 ms
[ITER 50][CUDA] kernel_solve_C = 527.584778 ms
[ITER 50][CUDA] H2D = 0.000000 ms
[ITER 50][CUDA] D2H = 0.000000 ms
[ITER 50][CUDA] timestep_total = 4097.194336 ms
[ITER 51][CUDA] kernel_solve_U = 1412.736816 ms
