-6.000000 4.135045 0.000000 -nan -nan -nan -nan
-6.000000 4.187852 0.000000 -nan -nan -nan -nan
-6.000000 4.240765 0.000000 -nan -nan -nan -nan
-6.000000 4.293785 0.000000 -nan -nan -nan -nan
-6.000000 4.346912 0.000000 -nan -nan -nan -nan
-6.000000 4.400149 0.000000 -nan -nan -nan -nan
-6.000000 4.453495 0.000000 -nan -nan -nan -nan
-6.000000 4.506951 0.000000 -nan -nan -nan -nan
-6.000000 4.560518 0.000000 -nan -nan -nan -nan
-6.000000 4.614197 0.000000 -nan -nan -nan -nan
-6.000000 4.667989 0.000000 -nan -nan -nan -nan
-6.000000 4.721895 0.000000 -nan -nan -nan -nan
-6.000000 4.775914 0.000000 -nan -nan -nan -nan
-6.000000 4.830049 0.000000 -nan -nan -nan -nan
-6.000000 4.884300 0.000000 -nan -nan -nan -nan
-6.000000 4.938668 0.000000 -nan -nan -nan -nan
-6.000000 4.993153 0.000000 -nan -nan -nan -nan
-6.000000 5.047755 0.000000 -nan -nan -nan -nan
-6.000000 5.102477 0.000000 -nan -nan -nan -nan
-6.000000 5.157318 0.000000 -nan -nan -nan -nan
-6.000000 5.212280 0.000000 -nan -nan -nan -nan
-6.000000 5.267362 0.000000 -nan -nan -nan -nan
-6.000000 5.322566 0.000000 -nan -nan -nan -nan
-6.000000 5.377892 0.000000 -nan -nan -nan -nan
-6.000000 5.433340 0.000000 -nan -nan -nan -nan
-6.000000 5.488913 0.000000 -nan -nan -nan -nan
-6.000000 5.544609 0.000000 -nan -nan -nan -nan
-6.000000 5.600430 0.000000 -nan -nan -nan -nan
-6.000000 5.656376 0.000000 -nan -nan -nan -nan
-6.000000 5.712448 0.000000 -nan -nan -nan -nan
-6.000000 5.768647 0.000000 -nan -nan -nan -nan
-6.000000 5.824972 0.000000 -nan -nan -nan -nan
-6.000000 5.881425 0.000000 -nan -nan -nan -nan
-6.000000 5.938007 0.000000 -nan -nan -nan -nan
-6.000000 5.994717 0.000000 -nan -nan -nan -nan
-6.000000 6.051555 0.000000 -nan -nan -nan -nan
-6.000000 6.108524 0.000000 -nan -nan -nan -nan
-6.000000 6.165623 0.000000 -nan -nan -nan -nan
-6.000000 6.222852 0.000000 -nan -nan -nan -nan
-6.000000 6.280213 0.000000 -nan -nan -nan -nan
-6.000000 6.337705 0.000000 -nan -nan -nan -nan
-6.000000 6.395329 0.000000 -nan -nan -nan -nan
-6.000000 6.453085 0.000000 -nan -nan -nan -nan
-6.000000 6.510974 0.000000 -nan -nan -nan -nan
-6.000000 6.568997 0.000000 -nan -nan -nan -nan
-6.000000 6.627153 0.000000 -nan -nan -nan -nan
-6.000000 6.685443 0.000000 -nan -nan -nan -nan
-6.000000 6.743868 0.000000 -nan -nan -nan -nan
-6.000000 6.802428 0.000000 -nan -nan -nan -nan
-6.000000 6.861122 0.000000 -nan -nan -nan -nan
-6.000000 6.919953 0.000000 -nan -nan -nan -nan
-6.000000 6.978919 0.000000 -nan -nan -nan -nan
-6.000000 7.038021 0.000000 -nan -nan -nan -nan
-6.000000 7.097260 0.000000 -nan -nan -nan -nan
-6.000000 7.156635 0.000000 -nan -nan -nan -nan
-6.000000 7.216148 0.000000 -nan -nan -nan -nan
-6.000000 7.275798 0.000000 -nan -nan -nan -nan
-6.000000 7.335586 0.000000 -nan -nan -nan -nan
-6.000000 7.395511 0.000000 -nan -nan -nan -nan
-6.000000 7.455575 0.000000 -nan -nan -nan -nan
-6.000000 7.515777 0.000000 -nan -nan -nan -nan
-6.000000 7.576118 0.000000 -nan -nan -nan -nan
-6.000000 7.636597 0.000000 -nan -nan -nan -nan
-6.000000 7.697216 0.000000 -nan -nan -nan -nan
-6.000000 7.757973 0.000000 -nan -nan -nan -nan
-6.000000 7.818871 0.000000 -nan -nan -nan -nan
-6.000000 7.879907 0.000000 -nan -nan -nan -nan
-6.000000 7.941084 0.000000 -nan -nan -nan -nan
-6.000000 8.002401 0.000000 -nan -nan -nan -nan
-6.000000 8.063857 0.000000 -nan -nan -nan -nan
-6.000000 8.125454 0.000000 -nan -nan -nan -nan
-6.000000 8.187191 0.000000 -nan -nan -nan -nan
-6.000000 8.249069 0.000000 -nan -nan -nan -nan
-6.000000 8.311087 0.000000 -nan -nan -nan -nan
-6.000000 8.373246 0.000000 -nan -nan -nan -nan
-6.000000 8.435546 0.000000 -nan -nan -nan -nan
